Race,surveyyear,Percent Intelligent
Asian,1996,0.05
Black,1996,0.05
Latinx,1996,0.04
Multiracial,1996,0.04
White,1996,0.04
Asian,2004,0.12
Black,2004,0.21
Latinx,2004,0.17
Multiracial,2004,0.14
White,2004,0.18
Asian,2020,0.06
Black,2020,0.08
Latinx,2020,0.08
Multiracial,2020,0.05
White,2020,0.07
